id,price,zip,prices,zips
108010019,4.69000005722046,21042,5,45
108010019,4.69000005722046,21201,5,45
108010019,4.69000005722046,21205,5,45
108010019,4.69000005722046,21209,5,45
108010019,4.69000005722046,21211,5,45
108010019,4.69000005722046,22314,5,45
108010019,4.69000005722046,60601,5,45
108010019,4.69000005722046,60603,5,45
108010019,4.69000005722046,60606,5,45
108010019,4.69000005722046,60607,5,45
108010019,4.69000005722046,60610,5,45
108010019,4.69000005722046,75202,5,45
108010019,4.69000005722046,75207,5,45
108010019,4.69000005722046,75208,5,45
108010019,4.69000005722046,75219,5,45
108010019,4.69000005722046,75246,5,45
108010019,4.69000005722046,80202,5,45
108010019,4.69000005722046,80203,5,45
108010019,4.69000005722046,80206,5,45
108010019,4.69000005722046,80209,5,45
108010019,4.69000005722046,80211,5,45
108010019,4.8899998664856,20001,5,45
108010019,4.8899998664856,20006,5,45
108010019,4.8899998664856,20036,5,45
108010019,4.8899998664856,20319,5,45
108010019,4.98999977111816,94104,5,45
108010019,4.98999977111816,94108,5,45
108010019,4.98999977111816,94109,5,45
108010019,4.98999977111816,94117,5,45
108010019,4.98999977111816,94123,5,45
108010019,5.28999996185303,90013,5,45
108010019,5.28999996185303,90026,5,45
108010019,5.28999996185303,90077,5,45
108010019,5.28999996185303,90210,5,45
108010019,5.28999996185303,90212,5,45
108010019,5.28999996185303,92101,5,45
108010019,5.28999996185303,92104,5,45
108010019,5.28999996185303,92106,5,45
108010019,5.28999996185303,92113,5,45
108010019,5.28999996185303,92118,5,45
108010019,5.48999977111816,98108,5,45
108010019,5.48999977111816,98122,5,45
108010019,5.48999977111816,98134,5,45
108010019,5.48999977111816,98144,5,45
108010019,5.48999977111816,98174,5,45
108010020,4.69000005722046,21042,5,45
108010020,4.69000005722046,21201,5,45
108010020,4.69000005722046,21205,5,45
108010020,4.69000005722046,21209,5,45
108010020,4.69000005722046,21211,5,45
108010020,4.69000005722046,22314,5,45
108010020,4.69000005722046,60601,5,45
108010020,4.69000005722046,60603,5,45
108010020,4.69000005722046,60606,5,45
108010020,4.69000005722046,60607,5,45
108010020,4.69000005722046,60610,5,45
108010020,4.69000005722046,75202,5,45
108010020,4.69000005722046,75207,5,45
108010020,4.69000005722046,75208,5,45
108010020,4.69000005722046,75219,5,45
108010020,4.69000005722046,75246,5,45
108010020,4.69000005722046,80202,5,45
108010020,4.69000005722046,80203,5,45
108010020,4.69000005722046,80206,5,45
108010020,4.69000005722046,80209,5,45
108010020,4.69000005722046,80211,5,45
108010020,4.8899998664856,20001,5,45
108010020,4.8899998664856,20006,5,45
108010020,4.8899998664856,20036,5,45
108010020,4.8899998664856,20319,5,45
108010020,4.98999977111816,94104,5,45
108010020,4.98999977111816,94108,5,45
108010020,4.98999977111816,94109,5,45
108010020,4.98999977111816,94117,5,45
108010020,4.98999977111816,94123,5,45
108010020,5.28999996185303,90013,5,45
108010020,5.28999996185303,90026,5,45
108010020,5.28999996185303,90077,5,45
108010020,5.28999996185303,90210,5,45
108010020,5.28999996185303,90212,5,45
108010020,5.28999996185303,92101,5,45
108010020,5.28999996185303,92104,5,45
108010020,5.28999996185303,92106,5,45
108010020,5.28999996185303,92113,5,45
108010020,5.28999996185303,92118,5,45
108010020,5.48999977111816,98108,5,45
108010020,5.48999977111816,98122,5,45
108010020,5.48999977111816,98134,5,45
108010020,5.48999977111816,98144,5,45
108010020,5.48999977111816,98174,5,45
108010057,10.9899997711182,21042,3,40
108010057,10.9899997711182,21201,3,40
108010057,10.9899997711182,21205,3,40
108010057,10.9899997711182,21209,3,40
108010057,10.9899997711182,21211,3,40
108010057,10.9899997711182,22314,3,40
108010057,10.9899997711182,60601,3,40
108010057,10.9899997711182,60603,3,40
108010057,10.9899997711182,60606,3,40
108010057,10.9899997711182,60607,3,40
108010057,10.9899997711182,60610,3,40
108010057,10.9899997711182,75202,3,40
108010057,10.9899997711182,75207,3,40
108010057,10.9899997711182,75208,3,40
108010057,10.9899997711182,75219,3,40
108010057,10.9899997711182,75246,3,40
108010057,10.9899997711182,80202,3,40
108010057,10.9899997711182,80203,3,40
108010057,10.9899997711182,80206,3,40
108010057,10.9899997711182,80209,3,40
